"X","Cell","Run","Read_type","Reads","Align_rate","Aligned_reads","RNAseq","Aligned_reads_pair_adj"
1,"Brain","SRR10066398","unpaired",10579800,96.68,10228550.64,"Ribo-tag",10228550.64
2,"Brain","SRR10066399","unpaired",12329700,95.86,11819250.42,"Ribo-tag",11819250.42
3,"Brain","SRR10066400","unpaired",8422596,90.68,7637610.0528,"Ribo-tag",7637610.0528
4,"Brain","SRR10066401","unpaired",8498803,90.6,7699915.518,"Ribo-tag",7699915.518
5,"Brain","SRR10066402","unpaired",10664466,96.01,10238953.8066,"Ribo-tag",10238953.8066
6,"Brain","SRR10066403","unpaired",5083002,90.63,4606724.7126,"Ribo-tag",4606724.7126
7,"Brain","SRR10066404","unpaired",5175163,95.17,4925202.6271,"Ribo-tag",4925202.6271
8,"Brain","SRR10066405","unpaired",8477205,95.58,8102512.539,"Ribo-tag",8102512.539
9,"Brain","SRR10066406","unpaired",8553255,95.61,8177767.1055,"Ribo-tag",8177767.1055
10,"Brain","SRR10066407","unpaired",10295130,96.24,9908033.112,"Ribo-tag",9908033.112
11,"Brain","SRR10066538","unpaired",8395090,95.85,8046693.765,"Ribo-tag",8046693.765
12,"Brain","SRR10066539","unpaired",8452801,95.87,8103700.3187,"Ribo-tag",8103700.3187
13,"Brain","SRR10066540","unpaired",9834849,96.36,9476860.4964,"Ribo-tag",9476860.4964
14,"Brain","SRR10066541","unpaired",5127607,95.42,4892762.5994,"Ribo-tag",4892762.5994
15,"Brain","SRR10066542","unpaired",18412470,95.67,17615210.049,"Ribo-tag",17615210.049
16,"Brain","SRR1033795","paired",36538349,92.43,33772395.9807,"Bulk",16886197.99035
17,"Brain","SRR1033796","paired",33791793,94.16,31818352.2888,"Bulk",15909176.1444
18,"Brain","SRR11453109","paired",20061721,95.6,19179005.276,"Bulk",9589502.638
19,"Brain","SRR11453110","paired",26995834,96.05,25929498.557,"Bulk",12964749.2785
20,"Brain","SRR11453111","paired",23259163,95.81,22284604.0703,"Bulk",11142302.03515
21,"Brain","SRR11453112","paired",22160111,96.42,21366779.0262,"Bulk",10683389.5131
22,"Brain","SRR11453117","paired",26108298,96.88,25293719.1024,"Bulk",12646859.5512
23,"Brain","SRR11453118","paired",24800260,95.68,23728888.768,"Bulk",11864444.384
24,"Brain","SRR11453119","paired",23408055,95.59,22375759.7745,"Bulk",11187879.88725
25,"Brain","SRR11453120","paired",28301241,95.21,26945611.5561,"Bulk",13472805.77805
26,"Brain","SRR2657960","paired",13003559,88.51,11509450.0709,"Bulk",5754725.03545
27,"Brain","SRR2657961","paired",13810333,90.67,12521828.9311,"Bulk",6260914.46555
28,"Brain","SRR5252827","paired",59572693,96.73,57624665.9389,"Bulk",28812332.96945
29,"Brain","SRR5252828","paired",20263249,95.93,19438534.7657,"Bulk",9719267.38285
30,"Brain","SRR5252829","paired",24513513,97.02,23783010.3126,"Bulk",11891505.1563
31,"Brain","SRR5252830","paired",19421140,96.64,18768589.696,"Bulk",9384294.848
32,"Brain","SRR6903260","paired",99641227,82.67,82373402.3609,"Bulk",41186701.18045
33,"Brain","SRR6903261","paired",111168920,70.37,78229569.004,"Bulk",39114784.502
34,"Brain","SRR8147624","unpaired",52539352,90.2,47390495.504,"Bulk",47390495.504
35,"Brain","SRR8147625","unpaired",38536471,73.43,28297330.6553,"Bulk",28297330.6553
36,"Brain","SRR8147633","unpaired",51743614,89.11,46108734.4354,"Bulk",46108734.4354
37,"Brain","SRR8147640","unpaired",50387531,89.21,44950716.4051,"Bulk",44950716.4051
38,"Brain","SRR8147641","unpaired",39323487,82.24,32339635.7088,"Bulk",32339635.7088
39,"Brain","SRR8147648","unpaired",24396872,82.48,20122540.0256,"Ribo-tag",20122540.0256
40,"Brain","SRR8147649","unpaired",30610645,90.95,27840381.6275,"Ribo-tag",27840381.6275
41,"Brain","SRR8147656","unpaired",16939962,74.16,12562675.8192,"Ribo-tag",12562675.8192
42,"Brain","SRR8147657","unpaired",17098619,73.85,12627330.1315,"Ribo-tag",12627330.1315
43,"Brain","SRR8661654","paired",42956910,92.03,39533244.273,"Bulk",19766622.1365
44,"Brain","SRR8661655","paired",34196570,92.05,31477942.685,"Bulk",15738971.3425
45,"Brain","SRR8661656","paired",32410624,92.28,29908523.8272,"Bulk",14954261.9136
46,"Brain","SRR8661657","paired",45555567,91.76,41801788.2792,"Bulk",20900894.1396
47,"Brain","SRR8661658","paired",53002683,89.78,47585808.7974,"Bulk",23792904.3987
48,"Brain","SRR8661659","paired",46334377,92.9,43044636.233,"Bulk",21522318.1165
49,"Brain","SRR8661660","paired",44239375,92.1,40744464.375,"Bulk",20372232.1875
50,"Brain","SRR8661661","paired",34101744,94.33,32168175.1152,"Bulk",16084087.5576
51,"Brain","SRR8661662","paired",37183794,93.04,34595801.9376,"Bulk",17297900.9688
52,"Brain","SRR8661663","paired",37257918,93.87,34974007.6266,"Bulk",17487003.8133
53,"Brain","SRR8661664","paired",44413689,92.89,41255875.7121,"Bulk",20627937.85605
54,"Brain","SRR8661665","paired",42429888,92.7,39332506.176,"Bulk",19666253.088
55,"HDMEC","SRR1286924","paired",52041091,96.14,50032304.8874,"Bulk",25016152.4437
56,"HDMEC","SRR1286925","paired",51761214,96,49690765.44,"Bulk",24845382.72
57,"HDMEC","SRR1303625","unpaired",33472952,77.68,26001789.1136,"Bulk",26001789.1136
58,"HDMEC","SRR1303626","unpaired",33341470,37.26,12423031.722,"Bulk",12423031.722
59,"HDMEC","SRR2776477","paired",59494620,96.85,57620539.47,"Bulk",28810269.735
60,"HDMEC","SRR2776478","paired",68373038,97.03,66342358.7714,"Bulk",33171179.3857
61,"HDMEC","SRR2776479","paired",84093917,96.84,81436549.2228,"Bulk",40718274.6114
