,gene_name
1,OR4F5
2,OR4F29
3,OR4F16
4,SAMD11
5,NOC2L
6,KLHL17
7,PLEKHN1
8,PERM1
9,HES4
10,ISG15
11,AGRN
12,RNF223
13,C1orf159
14,TTLL10
15,TNFRSF18
16,TNFRSF4
17,SDF4
18,B3GALT6
19,C1QTNF12
20,UBE2J2
21,SCNN1D
22,ACAP3
23,PUSL1
24,INTS11
25,CPTP
26,TAS1R3
27,DVL1
28,MXRA8
29,AURKAIP1
30,CCNL2
31,MRPL20
32,ANKRD65
33,TMEM88B
34,VWA1
35,ATAD3C
36,ATAD3B
37,ATAD3A
38,TMEM240
39,SSU72
40,FNDC10
41,MIB2
42,MMP23B
43,CDK11B
44,SLC35E2B
45,CDK11A
46,SLC35E2A
47,NADK
48,GNB1
49,CALML6
50,TMEM52
51,CFAP74
52,GABRD
53,PRKCZ
54,FAAP20
55,SKI
56,MORN1
57,RER1
58,PEX10
59,PLCH2
60,PANK4
61,HES5
62,TNFRSF14
63,PRXL2B
64,MMEL1
65,TTC34
66,ACTRT2
67,PRDM16
68,ARHGEF16
69,MEGF6
70,TPRG1L
71,WRAP73
72,TP73
73,CCDC27
74,SMIM1
75,LRRC47
76,CEP104
77,DFFB
78,C1orf174
79,AJAP1
80,NPHP4
81,KCNAB2
82,CHD5
83,AL031847.1
84,RPL22
85,RNF207
86,ICMT
87,HES3
88,GPR153
89,ACOT7
90,HES2
91,ESPN
92,TNFRSF25
93,PLEKHG5
94,NOL9
95,TAS1R1
96,ZBTB48
97,KLHL21
98,PHF13
99,THAP3
100,DNAJC11
101,CAMTA1
102,VAMP3
103,PER3
104,UTS2
105,TNFRSF9
106,PARK7
107,ERRFI1
108,SLC45A1
109,RERE
110,ENO1
111,CA6
112,SLC2A7
113,SLC2A5
114,GPR157
115,H6PD
116,SPSB1
117,SLC25A33
118,TMEM201
119,PIK3CD
120,CLSTN1
121,CTNNBIP1
122,LZIC
123,NMNAT1
124,RBP7
125,UBE4B
126,KIF1B
127,PGD
128,CENPS-CORT
129,CENPS
130,CORT
131,DFFA
132,PEX14
133,CASZ1
134,C1orf127
135,TARDBP
136,AL109811.3
137,MASP2
138,SRM
139,EXOSC10
140,MTOR
141,ANGPTL7
142,UBIAD1
143,DISP3
144,FBXO2
145,FBXO44
146,FBXO6
147,MAD2L2
148,DRAXIN
149,AGTRAP
150,C1orf167
151,MTHFR
152,CLCN6
153,NPPA
154,NPPB
155,KIAA2013
156,PLOD1
157,MFN2
158,MIIP
159,TNFRSF8
160,TNFRSF1B
161,VPS13D
162,DHRS3
163,AADACL4
164,AADACL3
165,C1orf158
166,PRAMEF12
167,PRAMEF1
168,PRAMEF11
169,HNRNPCL1
170,PRAMEF2
171,PRAMEF4
172,PRAMEF10
173,PRAMEF7
174,PRAMEF6
175,PRAMEF27
176,HNRNPCL3
177,PRAMEF25
178,HNRNPCL2
179,PRAMEF26
180,HNRNPCL4
181,PRAMEF9
182,PRAMEF13
183,PRAMEF18
184,PRAMEF5
185,PRAMEF8
186,PRAMEF33
187,PRAMEF15
188,PRAMEF14
189,PRAMEF19
190,PRAMEF17
191,PRAMEF20
192,LRRC38
193,PDPN
194,PRDM2
195,KAZN
196,TMEM51
197,FHAD1
198,EFHD2
199,CTRC
200,CELA2A
201,CELA2B
202,CASP9
203,DNAJC16
204,AGMAT
205,DDI2
206,RSC1A1
207,PLEKHM2
208,SLC25A34
209,TMEM82
210,FBLIM1
211,UQCRHL
212,SPEN
213,ZBTB17
214,SRARP
215,HSPB7
216,CLCNKA
217,CLCNKB
218,FAM131C
219,EPHA2
220,ARHGEF19
221,CPLANE2
222,FBXO42
223,SZRD1
224,SPATA21
225,NECAP2
226,NBPF1
227,CROCC
228,MFAP2
229,ATP13A2
230,AL049569.3
231,SDHB
232,PADI2
233,PADI1
234,PADI3
235,PADI4
236,PADI6
237,RCC2
238,ARHGEF10L
239,ACTL8
240,IGSF21
241,KLHDC7A
242,PAX7
243,TAS1R2
244,ALDH4A1
245,IFFO2
246,UBR4
247,EMC1
248,MRTO4
249,AKR7A3
250,AKR7A2
251,SLC66A1
252,CAPZB
253,MICOS10
254,NBL1
255,MICOS10-NBL1
256,HTR6
257,TMCO4
258,RNF186
259,OTUD3
260,PLA2G2E
261,PLA2G2A
262,PLA2G5
263,PLA2G2D
264,PLA2G2F
265,PLA2G2C
266,UBXN10
267,VWA5B1
268,CAMK2N1
269,MUL1
270,FAM43B
271,CDA
272,PINK1
273,DDOST
274,KIF17
275,SH2D5
276,HP1BP3
277,EIF4G3
278,ECE1
279,NBPF3
280,ALPL
281,RAP1GAP
282,USP48
283,LDLRAD2
284,HSPG2
285,CELA3B
286,CELA3A
287,CDC42
288,WNT4
289,ZBTB40
290,EPHA8
291,C1QA
292,C1QC
293,C1QB
294,EPHB2
295,LACTBL1
296,TEX46
297,KDM1A
298,LUZP1
299,HTR1D
300,HNRNPR
301,ZNF436
302,TCEA3
303,ASAP3
304,E2F2
305,ID3
306,RPL11
307,ELOA
308,PITHD1
309,LYPLA2
310,GALE
311,HMGCL
312,FUCA1
313,CNR2
314,PNRC2
315,SRSF10
316,MYOM3
317,IL22RA1
318,IFNLR1
319,GRHL3
320,STPG1
321,NIPAL3
322,RCAN3
323,NCMAP
324,SRRM1
325,CLIC4
326,RUNX3
327,SYF2
328,RSRP1
329,RHD
330,TMEM50A
331,RHCE
332,MACO1
333,LDLRAP1
334,MAN1C1
335,SELENON
336,AL020996.2
337,MTFR1L
338,AUNIP
339,PAQR7
340,STMN1
341,PAFAH2
342,EXTL1
343,SLC30A2
344,TRIM63
345,PDIK1L
346,FAM110D
347,C1orf232
348,AL391650.1
349,ZNF593
350,CNKSR1
351,CATSPER4
352,CEP85
353,SH3BGRL3
354,UBXN11
355,CD52
356,CRYBG2
357,ZNF683
358,LIN28A
359,DHDDS
360,HMGN2
361,RPS6KA1
362,ARID1A
363,PIGV
364,ZDHHC18
365,SFN
366,GPN2
367,GPATCH3
368,NUDC
369,NR0B2
370,KDF1
371,TRNP1
372,TENT5B
373,SLC9A1
374,WDTC1
375,TMEM222
376,SYTL1
377,MAP3K6
378,FCN3
379,CD164L2
380,GPR3
381,WASF2
382,AHDC1
383,FGR
384,IFI6
385,FAM76A
386,STX12
387,PPP1R8
388,THEMIS2
389,RPA2
390,SMPDL3B
391,XKR8
392,EYA3
393,PTAFR
394,DNAJC8
395,ATP5IF1
396,SESN2
397,MED18
398,PHACTR4
399,RCC1
400,TRNAU1AP
401,TAF12
402,RAB42
403,GMEB1
404,YTHDF2
405,OPRD1
406,EPB41
407,TMEM200B
408,SRSF4
409,MECR
410,PTPRU
411,MATN1
412,LAPTM5
413,SDC3
414,PUM1
415,NKAIN1
416,SNRNP40
417,ZCCHC17
418,FABP3
419,SERINC2
420,TINAGL1
421,HCRTR1
422,PEF1
423,COL16A1
424,ADGRB2
425,SPOCD1
426,PTP4A2
427,KHDRBS1
428,TMEM39B
429,KPNA6
430,TXLNA
431,CCDC28B
432,IQCC
433,DCDC2B
434,TMEM234
435,EIF3I
436,FAM167B
437,LCK
438,HDAC1
439,MARCKSL1
440,TSSK3
441,FAM229A
442,BSDC1
443,AL033529.1
444,ZBTB8B
445,ZBTB8A
446,ZBTB8OS
447,RBBP4
448,SYNC
449,KIAA1522
450,YARS1
451,S100PBP
452,FNDC5
453,HPCA
454,TMEM54
455,RNF19B
456,AK2
457,AZIN2
458,TRIM62
459,ZNF362
460,A3GALT2
461,PHC2
462,ZSCAN20
463,CSMD2
464,HMGB4
465,C1orf94
466,SMIM12
467,GJB5
468,GJB4
469,GJB3
470,GJA4
471,DLGAP3
472,AC114490.3
473,AC114490.2
474,TMEM35B
475,ZMYM6
476,ZMYM1
477,SFPQ
478,ZMYM4
479,KIAA0319L
480,NCDN
481,TFAP2E
482,PSMB2
483,C1orf216
484,CLSPN
485,AGO4
486,AGO1
487,AGO3
488,TEKT2
489,ADPRS
490,COL8A2
491,TRAPPC3
492,MAP7D1
493,THRAP3
494,SH3D21
495,EVA1B
496,STK40
497,LSM10
498,OSCP1
499,MRPS15
500,CSF3R
501,GRIK3
502,ZC3H12A
503,MEAF6
504,SNIP1
505,DNALI1
506,GNL2
507,RSPO1
508,C1orf109
509,CDCA8
510,EPHA10
511,MANEAL
512,YRDC
513,C1orf122
514,MTF1
515,INPP5B
516,SF3A3
517,FHL3
518,UTP11
519,POU3F1
520,RRAGC
521,MYCBP
522,AL139260.3
523,GJA9
524,RHBDL2
525,AKIRIN1
526,NDUFS5
527,MACF1
528,BMP8A
529,PABPC4
530,HEYL
531,NT5C1A
532,HPCAL4
533,PPIE
534,BMP8B
535,OXCT2
536,TRIT1
537,MYCL
538,MFSD2A
539,CAP1
540,PPT1
541,RLF
542,TMCO2
543,ZMPSTE24
544,COL9A2
545,SMAP2
546,ZFP69B
547,ZFP69
548,EXO5
549,ZNF684
550,RIMS3
551,NFYC
552,KCNQ4
553,CITED4
554,CTPS1
555,SLFNL1
556,SCMH1
557,FOXO6
558,EDN2
559,HIVEP3
560,AC119676.1
561,GUCA2B
562,GUCA2A
563,FOXJ3
564,RIMKLA
565,ZMYND12
566,PPCS
567,CCDC30
568,PPIH
569,YBX1
570,CLDN19
571,P3H1
572,C1orf50
573,AC098484.3
574,TMEM269
575,SVBP
576,ERMAP
577,ZNF691
578,SLC2A1
579,FAM183A
580,EBNA1BP2
581,CFAP57
582,TMEM125
583,C1orf210
584,TIE1
585,MPL
586,CDC20
587,ELOVL1
588,MED8
589,SZT2
590,HYI
591,PTPRF
592,KDM4A
593,AL451062.3
594,ST3GAL3
595,ARTN
596,IPO13
597,DPH2
598,ATP6V0B
599,B4GALT2
600,CCDC24
601,SLC6A9
602,KLF17
603,KLF18
604,DMAP1
605,ERI3
606,RNF220
607,TMEM53
608,ARMH1
609,KIF2C
610,RPS8
611,BEST4
612,PLK3
613,TCTEX1D4
614,BTBD19
615,PTCH2
616,EIF2B3
617,HECTD3
618,UROD
619,ZSWIM5
620,HPDL
621,MUTYH
622,AL451136.1
623,TOE1
624,TESK2
625,CCDC163
626,MMACHC
627,PRDX1
628,AKR1A1
629,NASP
630,CCDC17
631,GPBP1L1
632,TMEM69
633,IPP
634,MAST2
635,PIK3R3
636,P3R3URF-PIK3R3
637,TSPAN1
638,P3R3URF
639,POMGNT1
640,LURAP1
641,RAD54L
642,LRRC41
643,UQCRH
644,NSUN4
645,FAAH
646,DMBX1
647,TMEM275
648,KNCN
649,MKNK1
650,MOB3C
651,ATPAF1
652,TEX38
653,EFCAB14
654,CYP4B1
655,CYP4A11
656,CYP4X1
657,CYP4Z1
658,CYP4A22
659,PDZK1IP1
660,TAL1
661,STIL
662,CMPK1
663,FOXE3
664,FOXD2
665,TRABD2B
666,SLC5A9
667,SPATA6
668,AGBL4
669,BEND5
670,ELAVL4
671,DMRTA2
672,FAF1
673,CDKN2C
674,C1orf185
675,RNF11
676,TTC39A
677,EPS15
678,OSBPL9
679,NRDC
680,RAB3B
681,TXNDC12
682,AL445685.3
683,KTI12
684,BTF3L4
685,ZFYVE9
686,CC2D1B
687,ORC1
688,PRPF38A
689,TUT4
690,GPX7
691,SHISAL2A
692,COA7
693,ZYG11B
694,ZYG11A
695,ECHDC2
696,SCP2
697,PODN
698,SLC1A7
699,CPT2
700,CZIB
701,MAGOH
702,LRP8
703,DMRTB1
704,GLIS1
705,NDC1
706,YIPF1
707,DIO1
708,HSPB11
709,LRRC42
710,LDLRAD1
711,TMEM59
712,TCEANC2
713,AL357673.1
714,CDCP2
715,CYB5RL
716,MRPL37
717,SSBP3
718,ACOT11
719,FAM151A
720,MROH7
721,MROH7-TTC4
722,TTC4
723,PARS2
724,TTC22
725,LEXM
726,DHCR24
727,TMEM61
728,BSND
729,PCSK9
730,USP24
731,AC119674.2
732,PLPP3
733,PRKAA2
734,FYB2
735,C8A
736,C8B
737,DAB1
738,OMA1
739,TACSTD2
740,MYSM1
741,JUN
742,FGGY
743,HOOK1
744,CYP2J2
745,C1orf87
746,NFIA
747,TM2D1
748,PATJ
749,L1TD1
750,KANK4
751,USP1
752,DOCK7
753,ANGPTL3
754,ATG4C
755,FOXD3
756,ALG6
757,ITGB3BP
758,EFCAB7
759,PGM1
760,ROR1
761,UBE2U
762,CACHD1
763,RAVER2
764,JAK1
765,AK4
766,DNAJC6
767,LEPROT
768,LEPR
769,PDE4B
770,SGIP1
771,TCTEX1D1
772,INSL5
773,WDR78
774,MIER1
775,SLC35D1
776,C1orf141
777,IL23R
778,IL12RB2
779,SERBP1
780,GADD45A
781,GNG12
782,DIRAS3
783,WLS
784,RPE65
785,DEPDC1
786,LRRC7
787,LRRC40
788,SRSF11
789,ANKRD13C
790,HHLA3
791,CTH
792,PTGER3
793,ZRANB2
794,NEGR1
795,LRRIQ3
796,FPGT
797,FPGT-TNNI3K
798,TNNI3K
799,LRRC53
800,ERICH3
801,CRYZ
802,TYW3
803,LHX8
804,SLC44A5
805,ACADM
806,RABGGTB
807,MSH4
808,ASB17
809,ST6GALNAC3
810,ST6GALNAC5
811,PIGK
812,AK5
813,ZZZ3
814,USP33
815,MIGA1
816,NEXN
817,FUBP1
818,DNAJB4
819,GIPC2
820,PTGFR
821,IFI44L
822,IFI44
823,ADGRL4
824,ADGRL2
825,TTLL7
826,PRKACB
827,SAMD13
828,DNASE2B
829,RPF1
830,GNG5
831,SPATA1
832,CTBS
833,SSX2IP
834,LPAR3
835,MCOLN2
836,WDR63
837,MCOLN3
838,SYDE2
839,C1orf52
840,BCL10
841,DDAH1
842,CCN1
843,ZNHIT6
844,COL24A1
845,ODF2L
846,CLCA2
847,CLCA1
848,CLCA4
849,SH3GLB1
850,SELENOF
851,HS2ST1
852,AC093155.3
853,LMO4
854,PKN2
855,GTF2B
856,KYAT3
857,RBMXL1
858,GBP3
859,GBP1
860,GBP2
861,GBP7
862,GBP4
863,GBP5
864,GBP6
865,LRRC8B
866,AC099569.1
867,LRRC8C
868,AC093423.3
869,LRRC8D
870,ZNF326
871,BARHL2
872,ZNF644
873,HFM1
874,CDC7
875,TGFBR3
876,BRDT
877,EPHX4
878,SETSIP
879,BTBD8
880,C1orf146
881,GLMN
882,RPAP2
883,GFI1
884,EVI5
885,RPL5
886,DIPK1A
887,MTF2
888,TMED5
889,CCDC18
890,DR1
891,FNBP1L
892,BCAR3
893,DNTTIP2
894,GCLM
895,ABCA4
896,ARHGAP29
897,ABCD3
898,F3
899,SLC44A3
900,CNN3
901,ALG14
902,TLCD4
903,TLCD4-RWDD3
904,RWDD3
905,PTBP2
906,DPYD
907,SNX7
908,PLPPR5
909,PLPPR4
910,PALMD
911,FRRS1
912,AGL
913,SLC35A3
914,AC118553.2
915,MFSD14A
916,SASS6
917,TRMT13
918,LRRC39
919,DBT
920,RTCA
921,CDC14A
922,GPR88
923,VCAM1
924,EXTL2
925,SLC30A7
926,DPH5
927,S1PR1
928,OLFM3
929,COL11A1
930,RNPC3
931,AMY2B
932,AMY2A
933,AMY1A
934,AMY1B
935,AMY1C
936,PRMT6
937,NTNG1
938,VAV3
939,SLC25A24
940,NBPF4
941,NBPF6
942,FAM102B
943,HENMT1
944,PRPF38B
945,FNDC7
946,STXBP3
947,AKNAD1
948,GPSM2
949,CLCC1
950,WDR47
951,TAF13
952,TMEM167B
953,C1orf194
954,ELAPOR1
955,SARS1
956,CELSR2
957,PSRC1
958,MYBPHL
959,SORT1
960,PSMA5
961,SYPL2
962,ATXN7L2
963,CYB561D1
964,AMIGO1
965,GPR61
966,GNAI3
967,GNAT2
968,AMPD2
969,GSTM4
970,GSTM2
971,GSTM1
972,GSTM5
973,GSTM3
974,EPS8L3
975,CSF1
976,AHCYL1
977,STRIP1
978,ALX3
979,UBL4B
980,SLC6A17
981,KCNC4
982,RBM15
983,SLC16A4
984,LAMTOR5
985,PROK1
986,KCNA10
987,KCNA2
988,KCNA3
989,CD53
990,LRIF1
991,DRAM2
992,CEPT1
993,DENND2D
994,CHI3L2
995,CHIA
996,PIFO
997,OVGP1
998,WDR77
999,ATP5PB
1000,C1orf162
1001,TMIGD3
1002,ADORA3
1003,RAP1A
1004,INKA2
1005,DDX20
1006,KCND3
1007,CTTNBP2NL
1008,WNT2B
1009,ST7L
1010,CAPZA1
1011,MOV10
1012,RHOC
1013,AL603832.3
1014,PPM1J
1015,TAFA3
1016,SLC16A1
1017,LRIG2
1018,MAGI3
1019,PHTF1
1020,RSBN1
1021,PTPN22
1022,BCL2L15
1023,AP4B1
1024,DCLRE1B
1025,HIPK1
1026,OLFML3
1027,SYT6
1028,TRIM33
1029,BCAS2
1030,DENND2C
1031,AMPD1
1032,NRAS
1033,CSDE1
1034,SIKE1
1035,SYCP1
1036,TSHB
1037,TSPAN2
1038,NGF
1039,VANGL1
1040,CASQ2
1041,NHLH2
1042,SLC22A15
1043,MAB21L3
1044,ATP1A1
1045,CD58
1046,IGSF3
1047,CD2
1048,PTGFRN
1049,CD101
1050,TTF2
1051,TRIM45
1052,VTCN1
1053,MAN1A2
1054,TENT5C
1055,GDAP2
1056,WDR3
1057,SPAG17
1058,TBX15
1059,WARS2
1060,HAO2
1061,HSD3B2
1062,HSD3B1
1063,ZNF697
1064,PHGDH
1065,HMGCS2
1066,REG4
1067,ADAM30
1068,NOTCH2
1069,SEC22B
1070,NOTCH2NLR
1071,NBPF26
1072,PPIAL4A
1073,FCGR1B
1074,FAM72B
1075,SRGAP2C
1076,H3-2
1077,FAM72C
1078,PPIAL4E
1079,NBPF15
1080,PPIAL4F
1081,SRGAP2B
1082,FAM72D
1083,PPIAL4D
1084,NBPF20
1085,GPR89A
1086,PDZK1
1087,CD160
1088,RNF115
1089,POLR3C
1090,NUDT17
1091,PIAS3
1092,ANKRD35
1093,ITGA10
1094,PEX11B
1095,RBM8A
1096,AC243547.3
1097,LIX1L
1098,ANKRD34A
1099,POLR3GL
1100,TXNIP
1101,HJV
1102,NBPF10
1103,NOTCH2NLA
1104,PPIAL4H
1105,NBPF12
1106,PRKAB2
1107,FMO5
1108,CHD1L
1109,BCL9
1110,AC242628.1
1111,ACP6
1112,GJA5
1113,GJA8
1114,GPR89B
1115,NBPF11
1116,PPIAL4G
1117,NBPF14
1118,NOTCH2NLB
1119,NUDT4B
1120,PDE4DIP
1121,NBPF9
1122,NOTCH2NLC
1123,AC242842.3
1124,NBPF19
1125,PPIAL4C
1126,FCGR1A
1127,H2BC18
1128,H3C13
1129,H4C14
1130,H3C14
1131,H2AC18
1132,H2AC19
1133,H3C15
1134,H4C15
1135,H2BC21
1136,H2AC20
1137,H2AC21
1138,BOLA1
1139,SV2A
1140,SF3B4
1141,MTMR11
1142,OTUD7B
1143,VPS45
1144,PLEKHO1
1145,ANP32E
1146,CA14
1147,APH1A
1148,C1orf54
1149,CIART
1150,MRPS21
1151,PRPF3
1152,RPRD2
1153,TARS2
1154,ECM1
1155,ADAMTSL4
1156,MCL1
1157,ENSA
1158,GOLPH3L
1159,HORMAD1
1160,CTSS
1161,CTSK
1162,ARNT
1163,CTXND2
1164,SETDB1
1165,CERS2
1166,ANXA9
1167,MINDY1
1168,PRUNE1
1169,BNIPL
1170,C1orf56
1171,CDC42SE1
1172,MLLT11
1173,GABPB2
1174,SEMA6C
1175,TNFAIP8L2
1176,SCNM1
1177,LYSMD1
1178,TMOD4
1179,VPS72
1180,PIP5K1A
1181,PSMD4
1182,ZNF687
1183,PI4KB
1184,RFX5
1185,SELENBP1
1186,PSMB4
1187,POGZ
1188,CGN
1189,TUFT1
1190,SNX27
1191,CELF3
1192,RIIAD1
1193,MRPL9
1194,OAZ3
1195,TDRKH
1196,LINGO4
1197,RORC
1198,C2CD4D
1199,THEM5
1200,THEM4
1201,S100A10
1202,S100A11
1203,TCHHL1
1204,TCHH
1205,RPTN
1206,HRNR
1207,FLG
1208,FLG2
1209,CRNN
1210,LCE5A
1211,CRCT1
1212,LCE3E
1213,LCE3D
1214,LCE3C
1215,LCE3B
1216,LCE3A
1217,LCE2D
1218,LCE2C
1219,LCE2B
1220,LCE2A
1221,LCE4A
1222,C1orf68
1223,KPRP
1224,LCE1F
1225,LCE1E
1226,LCE1D
1227,LCE1C
1228,LCE1B
1229,LCE1A
1230,LCE6A
1231,AL162596.1
1232,SMCP
1233,IVL
1234,SPRR5
1235,SPRR4
1236,SPRR1A
1237,SPRR3
1238,SPRR1B
1239,SPRR2D
1240,SPRR2A
1241,SPRR2B
1242,SPRR2E
1243,SPRR2F
1244,SPRR2G
1245,LELP1
1246,PRR9
1247,LORICRIN
