"","gene_name"
"1","Xkr4"
"2","Rp1"
"3","Sox17"
"4","Mrpl15"
"5","Lypla1"
"6","Gm37988"
"7","Tcea1"
"8","Rgs20"
"9","Atp6v1h"
"10","Oprk1"
"11","Npbwr1"
"12","Rb1cc1"
"13","Alkal1"
"14","St18"
"15","Pcmtd1"
"16","Sntg1"
"17","Rrs1"
"18","Adhfe1"
"19","Vxn"
"20","Mybl1"
"21","Vcpip1"
"22","Sgk3"
"23","Mcmdc2"
"24","Tcf24"
"25","Ppp1r42"
"26","Cops5"
"27","Cspp1"
"28","Arfgef1"
"29","Cpa6"
"30","Prex2"
"31","A830018L16Rik"
"32","Sulf1"
"33","Slco5a1"
"34","Prdm14"
"35","Ncoa2"
"36","Tram1"
"37","Lactb2"
"38","Xkr9"
"39","Eya1"
"40","Msc"
"41","Trpa1"
"42","Kcnb2"
"43","Terf1"
"44","Sbspon"
"45","4930444P10Rik"
"46","Rpl7"
"47","Rdh10"
"48","Stau2"
"49","Ube2w"
"50","Eloc"
"51","Tmem70"
"52","Ly96"
"53","Jph1"
"54","Gdap1"
"55","Pi15"
"56","Crispld1"
"57","Crisp4"
"58","Defb18"
"59","Defb41"
"60","Tfap2d"
"61","Tfap2b"
"62","Pkhd1"
"63","Il17a"
"64","Il17f"
"65","Mcm3"
"66","Paqr8"
"67","Efhc1"
"68","Tram2"
"69","Tmem14a"
"70","Gsta3"
"71","Khdc1a"
"72","Khdc1c"
"73","Khdc1b"
"74","Kcnq5"
"75","Rims1"
"76","Ppp1r14bl"
"77","Ogfrl1"
"78","B3gat2"
"79","Smap1"
"80","Sdhaf4"
"81","Fam135a"
"82","Col9a1"
"83","Col19a1"
"84","Lmbrd1"
"85","Adgrb3"
"86","4931408C20Rik"
"87","Gm597"
"88","Phf3"
"89","Ptp4a1"
"91","Gm5698"
"92","4931428L18Rik"
"93","Lgsn"
"94","Pih1d3"
"95","Khdrbs2"
"96","Gm5415"
"97","Prim2"
"98","Rab23"
"99","Bag2"
"100","Zfp451"
"101","Bend6"
"102","Dst"
"103","Ccdc115"
"104","Imp4"
"105","Ptpn18"
"106","Prss39"
"107","Cfc1"
"108","Prss40"
"109","Amer3"
"110","Arhgef4"
"112","Fam168b"
"113","Plekhb2"
"114","Hs6st1"
"115","Uggt1"
"116","Neurl3"
"117","Arid5a"
"118","Kansl3"
"119","Fer1l5"
"120","Lman2l"
"121","Cnnm4"
"122","Cnnm3"
"123","Ankrd23"
"124","Gm42417"
"125","Ankrd39"
"126","Sema4c"
"127","Fam178b"
"128","Cox5b"
"129","Actr1b"
"130","4933424G06Rik"
"131","Zap70"
"132","Tmem131"
"133","Vwa3b"
"134","Cnga3"
"135","Inpp4a"
"136","Coa5"
"137","Unc50"
"138","Mgat4a"
"139","2010300C02Rik"
"140","Tsga10"
"141","Lipt1"
"142","Mitd1"
"143","Mrpl30"
"144","Lyg2"
"145","Lyg1"
"146","Txndc9"
"147","Eif5b"
"148","Rev1"
"149","Aff3"
"150","Lonrf2"
"151","Chst10"
"152","Nms"
"153","Pdcl3"
"154","Npas2"
"155","Rpl31"
"156","Tbc1d8"
"157","Cnot11"
"158","Rnf149"
"159","Creg2"
"160","Rfx8"
"161","Gm3646"
"162","Map4k4"
"163","Il1r2"
"164","Il1r1"
"165","Il1rl2"
"166","Il1rl1"
"167","Il18r1"
"168","Il18rap"
"169","Slc9a4"
"170","Slc9a2"
"171","Mfsd9"
"172","Tmem182"
"173","Pou3f3"
"174","Mrps9"
"175","Gpr45"
"176","Tgfbrap1"
"177","AI597479"
"178","Fhl2"
"179","Nck2"
"180","Ecrg4"
"181","Uxs1"
"182","Tpp2"
"183","Mettl21c"
"184","Gm8251"
"185","Tex30"
"186","Poglut2"
"187","Bivm"
"188","Ercc5"
"189","Mettl21e"
"190","Gulp1"
"191","Col3a1"
"192","Col5a2"
"193","Wdr75"
"194","Gm5269"
"195","Slc40a1"
"196","Dnah7b"
"197","Dnah7c"
"198","Slc39a10"
"199","Tmeff2"
"200","Cavin2"
"201","Nabp1"
"202","Myo1b"
"203","Stat4"
"204","Stat1"
"205","Gls"
"206","Nab1"
"207","Nemp2"
"208","Mfsd6"
"209","Inpp1"
"210","Hibch"
"211","1700019D03Rik"
"212","Mstn"
"213","1700019A02Rik"
"214","Pms1"
"215","Ormdl1"
"216","Gm28778"
"217","Osgepl1"
"218","Gm28551"
"219","Asnsd1"
"220","Gm50478"
"221","Dnah7a"
"222","Stk17b"
"223","Hecw2"
"224","Ccdc150"
"225","Gtf3c3"
"226","Gm34066"
"227","Pgap1"
"228","Ankrd44"
"229","Sf3b1"
"230","Coq10b"
"231","Hspd1"
"232","Hspe1"
"233","Mob4"
"234","Rftn2"
"235","Mars2"
"236","Boll"
"237","Plcl1"
"238","Hsfy2"
"239","Satb2"
"240","1700066M21Rik"
"241","Tyw5"
"242","Maip1"
"243","Spats2l"
"244","Kctd18"
"245","Sgo2a"
"246","Aox1"
"247","Aox3"
"248","Aox4"
"249","Aox2"
"250","Bzw1"
"251","Clk1"
"252","Ppil3"
"253","Nif3l1"
"254","Orc2"
"255","Fam126b"
"256","Ndufb3"
"257","Flacc1"
"258","Cflar"
"259","Casp8"
"260","Trak2"
"261","Stradb"
"262","C2cd6"
"263","Tmem237"
"264","Mpp4"
"265","Als2"
"266","Cdk15"
"267","Fzd7"
"268","Gm973"
"269","Sumo1"
"270","Nop58"
"271","Bmpr2"
"272","Fam117b"
"273","Ica1l"
"274","Wdr12"
"275","Carf"
"276","Nbeal1"
"277","Cyp20a1"
"278","Abi2"
"279","Raph1"
"280","Cd28"
"281","Ctla4"
"282","Icos"
"283","Pard3b"
"284","Nrp2"
"285","Ino80d"
"286","Ndufs1"
"287","Eef1b2"
"288","Gpr1"
"289","Zdbf2"
"290","Adam23"
"291","Gm39653"
"292","Dytn"
"293","Mdh1b"
"294","Fastkd2"
"295","4933402D24Rik"
"296","Klf7"
"297","Creb1"
"298","Mettl21a"
"299","Ccnyl1"
"300","Fzd5"
"301","Plekhm3"
"302","Akr1cl"
"303","Cryge"
"304","Crygd"
"305","Crygc"
"306","Crygb"
"307","Cryga"
"308","Gm28845"
"309","D630023F18Rik"
"310","Idh1"
"311","Pikfyve"
"312","Pth2r"
"313","Crygf"
"314","Map2"
"315","Unc80"
"316","Rpe"
"317","Kansl1l"
"318","Acadl"
"319","Myl1"
"320","Lancl1"
"321","Cps1"
"322","Erbb4"
"323","Ikzf2"
"324","Spag16"
"325","Vwc2l"
"326","Bard1"
"327","Abca12"
"328","Atic"
"329","Fn1"
"330","Mreg"
"331","Pecr"
"332","Tmem169"
"333","Xrcc5"
"334","Marchf4"
"335","Smarcal1"
"336","Ankar"
"337","Rpl37a"
"338","Igfbp2"
"339","Igfbp5"
"340","Tnp1"
"341","Tns1"
"342","Rufy4"
"343","Cxcr2"
"344","Cxcr1"
"345","Arpc2"
"346","Gpbar1"
"347","Aamp"
"348","Pnkd"
"349","Tmbim1"
"350","Catip"
"351","Slc11a1"
"352","Ctdsp1"
"353","Vil1"
"354","Usp37"
"355","Cnot9"
"356","Plcd4"
"357","Zfp142"
"358","Bcs1l"
"359","Rnf25"
"360","Stk36"
"361","Ttll4"
"362","Cyp27a1"
"363","Prkag3"
"364","Wnt6"
"365","Wnt10a"
"366","Cdk5r2"
"367","Fev"
"368","Cryba2"
"369","Cfap65"
"370","Ihh"
"371","Nhej1"
"372","Slc23a3"
"373","Cnppd1"
"374","Retreg2"
"375","Zfand2b"
"376","Abcb6"
"377","Atg9a"
"378","Ankzf1"
"379","Glb1l"
"380","Stk16"
"381","Tuba4a"
"382","A630095N17Rik"
"383","Dnajb2"
"384","Ptprn"
"385","Resp18"
"386","Dnpep"
"387","Des"
"388","Speg"
"389","Gmppa"
"390","Asic4"
"391","Chpf"
"392","Obsl1"
"393","Tmem198"
"394","Inha"
"395","Stk11ip"
"396","Slc4a3"
"397","Epha4"
"398","Pax3"
"399","Sgpp2"
"400","Farsb"
"401","BC035947"
"402","Mogat1"
"403","Acsl3"
"404","Utp14b"
"405","Kcne4"
"406","Scg2"
"407","Ap1s3"
"408","Wdfy1"
"409","Mrpl44"
"410","Serpine2"
"411","Fam124b"
"412","Cul3"
"413","Gm45261"
"414","Dock10"
"415","Nyap2"
"416","Irs1"
"417","Gm9747"
"418","Rhbdd1"
"419","Col4a4"
"420","Col4a3"
"421","Mff"
"422","Tm4sf20"
"423","Gm47791"
"424","Agfg1"
"425","A030005L19Rik"
"426","A030014E15Rik"
"427","Gm6217"
"428","A030003K21Rik"
"429","Gm7544"
"430","Gm47955"
"431","Gm47959"
"432","Slc19a3"
"433","Krtap28-10"
"434","Gm47969"
"435","A030005K14Rik"
"436","Krtap28-13"
"437","Ccl20"
"438","Daw1"
"439","Sphkap"
"440","Pid1"
"441","Dner"
"442","Trip12"
"443","Fbxo36"
"444","Slc16a14"
"445","AC167036.1"
"446","C130026I21Rik"
"447","AC167036.2"
"448","A530032D15Rik"
"449","Gm7609"
"450","AC147806.1"
"451","AC147806.2"
"452","G530012D18Rik"
"453","Sp110"
"454","Sp140"
"455","Sp100"
"456","A630001G21Rik"
"457","Cab39"
"458","Itm2c"
"459","4933407L21Rik"
"460","Gpr55"
"461","Spata3"
"462","2810459M11Rik"
"463","Psmd1"
"464","Htr2b"
"465","Gm21972"
"466","Armc9"
"467","B3gnt7"
"468","Ncl"
"469","Nmur1"
"470","Tex44"
"471","Ptma"
"472","Pde6d"
"473","Cops7b"
"474","Nppc"
"475","Dis3l2"
"476","Alppl2"
"477","Alpi"
"478","Akp3"
"479","Ecel1"
"480","Prss56"
"481","Chrnd"
"482","Chrng"
"483","Eif4e2"
"484","Efhd1"
"485","Gigyf2"
"486","Kcnj13"
"487","Snorc"
"488","Ngef"
"489","Neu2"
"490","Inpp5d"
"491","Atg16l1"
"492","Sag"
"493","Dgkd"
"494","Usp40"
"495","Ugt1a10"
"496","Ugt1a9"
"497","Ugt1a8"
"498","Ugt1a7c"
"499","Ugt1a6b"
"500","Ugt1a6a"
"501","Ugt1a5"
"502","Ugt1a2"
"503","Dnajb3"
"504","Ugt1a1"
"505","Mroh2a"
"506","Hjurp"
"507","Trpm8"
"508","Spp2"
"509","Glrp1"
"510","Arl4c"
"511","Sh3bp4"
"512","Agap1"
"513","Gbx2"
"514","Asb18"
"515","Iqca"
"516","Ackr3"
"517","Cops8"
"518","Col6a3"
"519","Mlph"
"520","Prlh"
"521","Rab17"
"522","Lrrfip1"
"523","Rbm44"
"524","Ramp1"
"525","Ube2f"
"526","Scly"
"527","Espnl"
"528","Klhl30"
"529","Erfe"
"530","Ilkap"
"531","Hes6"
"532","Per2"
"533","Traf3ip1"
"534","Asb1"
"535","Twist2"
"536","Hdac4"
"537","Ndufa10"
"538","Olfr1416"
"539","Olfr1415"
"540","Olfr1414"
"541","Olfr1413"
"542","Olfr1412"
"543","Olfr1411"
"544","Olfr1410"
"545","Olfr12"
"546","Cops9"
"547","Otos"
"548","Gpc1"
"549","Ankmy1"
"550","Dusp28"
"551","Rnpepl1"
"552","Capn10"
"553","Gpr35"
"554","Aqp12"
"555","Kif1a"
"556","Agxt"
"557","Mab21l4"
"558","Crocc2"
"559","Sned1"
"560","Mterf4"
"561","Pask"
"562","Ppp1r7"
"563","Ano7"
"564","Hdlbp"
"565","Septin2"
"567","Farp2"
"568","Stk25"
"569","Bok"
"570","Thap4"
"571","Atg4b"
"572","Dtymk"
"573","Ing5"
"574","D2hgdh"
"575","Gal3st2"
"576","Gal3st2b"
"577","Gal3st2c"
"578","Neu4"
"579","Pdcd1"
"580","Fam174a"
"581","St8sia4"
"582","Slco4c1"
"583","Slco6c1"
"584","D1Ertd622e"
"585","Ppip5k2"
"586","Gin1"
"587","Pam"
"588","Slco6d1"
"589","Cntnap5b"
"590","Cdh20"
"591","Rnf152"
"592","Pign"
"593","Relch"
"594","Tnfrsf11a"
"595","Zcchc2"
"596","Phlpp1"
"597","Bcl2"
"598","Kdsr"
"599","Vps4b"
"600","Serpinb5"
"601","Serpinb12"
"602","Serpinb13"
"603","Serpinb3a"
"604","Serpinb3d"
"605","Serpinb3b"
"606","Serpinb3c"
"607","Serpinb11"
"608","Serpinb7"
"609","Serpinb2"
"610","Serpinb8"
"611","Cdh7"
"612","Cdh19"
"613","Dsel"
"614","Cntnap5a"
"615","Gm19965"
"616","Gm28363"
"617","B020011L13Rik"
"618","Gm28360"
"619","Gm28168"
"620","Gm7145"
"621","Gm29106"
"622","Tsn"
"623","Nifk"
"624","Clasp1"
"625","Tfcp2l1"
"626","Gli2"
"627","Inhbb"
"628","Ralb"
"629","Tmem185b"
"630","Epb41l5"
"631","Ptpn4"
"632","Tmem177"
"633","Cfap221"
"634","Sctr"
"635","Tmem37"
"636","Dbi"
"637","3110009E18Rik"
"638","Steap3"
"639","C1ql2"
"640","Marco"
"641","En1"
"642","Insig2"
"643","Ccdc93"
"644","Htr5b"
"645","Ddx18"
"646","Dpp10"
"647","Actr3"
"648","Slc35f5"
"649","Gpr39"
"650","Lypd1"
"651","Nckap5"
"652","Mgat5"
"653","Tmem163"
"654","Acmsd"
"655","Ccnt2"
"656","Map3k19"
"657","Rab3gap1"
"658","Zranb3"
"659","R3hdm1"
"660","Ubxn4"
"661","Lct"
"662","Mcm6"
"663","Dars"
"664","Cxcr4"
"665","Thsd7b"
"666","Cd55b"
"667","Cd55"
"668","Zp3r"
"669","C4bp"
"670","Gm29427"
"671","Pfkfb2"
"672","Yod1"
"673","AA986860"
"674","Fcamr"
"675","Pigr"
"676","Fcmr"
"677","Il24"
"678","Il20"
"679","Il19"
"680","Il10"
"681","Mapkapk2"
"682","Dyrk3"
"683","Eif2d"
"684","Rassf5"
"685","Ikbke"
"686","Srgap2"
"687","Fam72a"
"688","Avpr1b"
"689","Ctse"
"690","Rab7b"
"691","Slc26a9"
"692","Pm20d1"
"693","Slc41a1"
"694","Rab29"
"695","Nucks1"
"696","Slc45a3"
"697","Elk4"
"698","Mfsd4a"
"699","Cdk18"
"700","Lemd1"
"701","Gm29695"
"702","Gm10188"
"703","Klhdc8a"
"704","Nuak2"
"705","Tmcc2"
"706","Dstyk"
"707","Rbbp5"
"708","Tmem81"
"709","Cntn2"
"710","Nfasc"
"711","Lrrn2"
"712","Mdm4"
"713","Pik3c2b"
"714","Ppp1r15b"
"715","Plekha6"
"716","Golt1a"
"717","Gm28040"
"719","Kiss1"
"720","Ren1"
"721","Etnk2"
"722","Sox13"
"723","Snrpe"
"724","Zc3h11a"
"726","Gm38394"
"727","Lax1"
"728","Atp2b4"
"729","Optc"
"730","Prelp"
"731","Fmod"
"732","Btg2"
"733","Chit1"
"734","Chil1"
"735","Mybph"
"736","Adora1"
"737","Myog"
"738","Ppfia4"
"739","Tmem183a"
"740","Mgat4f"
"741","Cyb5r1"
"742","Adipor1"
"743","Klhl12"
"744","Rabif"
"745","Mgat4e"
