Protein FDR Confidence;Accession;Gene symbol;Protein evidence;Protein name;Exp. q-value;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;# AAs;MW [kDa];calc. pI;Score Sequest HT;# Peptides Sequest HT;Score Mascot;# Peptides Mascot;Norm Intensity;iBAQ;Log2 iBAQ
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q09666-1;AHNAK;1;Neuroblast differentiation-associated protein AHNAK isoform Iso 1;0;6905;86.13;416;4086;414;1;5890;628.7;6.15;11685.77;406;50382;413;18144022794;71153030.57;26.08
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15149-1;PLEC;1;Plectin isoform Iso 1;0;5234;68.7;359;3344;17;1;4684;531.5;5.96;9661.74;351;47503;355;13075729719;45244739.51;25.43
;;;;;;;;;;;;;;;;;;;;;
High;NX_P35579-1;MYH9;1;Myosin-9 isoform Iso 1;0;5199;72.91;223;5879;186;1;1960;226.4;5.6;19470.49;219;104122;222;41372892996;405616598;28.6
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15149-4;PLEC;1;Plectin isoform Iso 4;0;5024;68.51;344;3278;2;1;4547;515.9;5.8;9486.61;337;46916;340;12913878506;45956863.01;25.45
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15149-6;PLEC;1;Plectin isoform Iso 6;0;5012;68.67;344;3271;2;1;4551;516.2;5.76;9474.39;337;46762;340;12884018248;45850598.75;25.45
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q15149-3;PLEC;1;Plectin isoform Iso 3;0;5009;67.59;341;3267;1;1;4570;517.7;5.74;9470.98;334;46793;337;12883686918;46013167.56;25.46
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14204-1;DYNC1H1;1;Cytoplasmic dynein 1 heavy chain 1 isoform Iso 1;0;4421;64.96;301;2219;301;1;4646;532.1;6.4;6410.81;291;28286;294;8103920062;31780078.67;24.92
;;;;;;;;;;;;;;;;;;;;;
High;NX_O75369-8;FLNB;1;Filamin-B isoform Iso 8;0;4026;84.12;202;4283;186;1;2633;281.5;5.71;11629.69;186;47620;201;19803134465;145611282.8;27.12
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13813-3;SPTAN1;1;Spectrin alpha chain, non-erythrocytic 1 isoform Iso 3;0;3366;75.82;202;1545;3;1;2452;282.1;5.34;4945.35;195;24842;200;5178658585;36728075.07;25.13
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q13813-2;SPTAN1;1;Spectrin alpha chain, non-erythrocytic 1 isoform Iso 2;0;3356;75.41;205;1534;6;1;2477;284.9;5.35;4908.35;198;24515;204;5168932180;36146378.88;25.11
;;;;;;;;;;;;;;;;;;;;;
High;NX_P98160-1;HSPG2;1;Basement membrane-specific heparan sulfate proteoglycan core protein isoform Iso 1;0;3351;62.35;176;1828;176;1;4391;468.5;6.51;5224.83;151;22197;172;5896099753;35095831.86;25.06
;;;;;;;;;;;;;;;;;;;;;
High;NX_P21333-1;FLNA;1;Filamin-A isoform Iso 1;0;3266;74.39;170;3106;153;1;2647;280.6;6.06;9481.71;156;36278;168;16504264234;127940032.8;26.93
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UPN3-1;MACF1;1;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 isoform Iso 1;0;3183;51.94;314;965;71;1;7388;837.8;5.39;2608.73;304;11141;306;1929975202;4584264.138;22.13
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9Y490-1;TLN1;1;Talin-1 isoform Iso 1;0;2983;75.84;162;1878;162;1;2541;269.6;6.07;5659.86;152;28600;159;6673321550;50175350;25.58
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q01082-1;SPTBN1;1;Spectrin beta chain, non-erythrocytic 1 isoform Long;0;2717;67.01;166;1199;16;1;2364;274.4;5.57;3663.4;157;18581;165;4377098071;31489914.18;24.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9UPN3-5;MACF1;1;Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 isoform Iso 4;0;2570;52.27;251;779;9;1;5938;669.7;5.3;2139.94;242;9585;243;1574801790;4875547.337;22.22
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q01082-3;SPTBN1;1;Spectrin beta chain, non-erythrocytic 1 isoform Iso 2;0;2452;66.03;150;1113;1;1;2155;251.2;5.53;3419.29;144;16659;150;4012126246;31344736.3;24.9
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q14315-1;FLNC;1;Filamin-C isoform Iso 1;0;2293;69.87;153;1284;135;1;2725;290.8;5.97;3789.85;146;17965;151;6050263006;42309531.51;25.33
;;;;;;;;;;;;;;;;;;;;;
High;NX_P78527-1;PRKDC;1;DNA-dependent protein kinase catalytic subunit isoform Iso 1;0;2174;50.44;203;1015;203;1;4128;468.8;7.12;2693.34;197;13842;202;3263818908;14570620.12;23.8
;;;;;;;;;;;;;;;;;;;;;
High;NX_P04275-1;VWF;1;von Willebrand factor isoform Iso 1;0;2170;59.54;132;1208;132;1;2813;309.1;5.48;3692.89;123;15849;129;4169980731;31590763.11;24.91
;;;;;;;;;;;;;;;;;;;;;
High;NX_P46821-1;MAP1B;1;Microtubule-associated protein 1B isoform Iso 1;0;2134;61.91;118;901;115;1;2468;270.5;4.81;2578.01;107;9990;117;2289783883;22230911.49;24.41
;;;;;;;;;;;;;;;;;;;;;
High;NX_P35580-1;MYH10;1;Myosin-10 isoform Iso 1;0;2118;61.54;139;1026;105;1;1976;228.9;5.54;2965.47;138;15139;137;6402628454;64026284.54;25.93
;;;;;;;;;;;;;;;;;;;;;
High;NX_P49327-1;FASN;1;Fatty acid synthase isoform Iso 1;0;2076;61.89;123;1011;121;1;2511;273.3;6.44;3105;119;14502;121;3735827515;30874607.56;24.88
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q02952-1;AKAP12;1;A-kinase anchor protein 12 isoform Iso 1;0;2047;74.92;106;900;106;1;1782;191.4;4.41;2518.5;89;8975;106;2505664362;30188727.25;24.85
;;;;;;;;;;;;;;;;;;;;;
High;NX_P46940-1;IQGAP1;1;Ras GTPase-activating-like protein IQGAP1 isoform Iso 1;0;2031;71.51;113;1123;108;1;1657;189.1;6.48;3327.67;105;16492;112;4444555034;54871049.8;25.71
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q00610-1;CLTC;1;Clathrin heavy chain 1 isoform Iso 1;0;2008;64.96;109;1227;85;1;1675;191.5;5.69;4017.09;106;20428;107;5635129476;64035562.23;25.93
;;;;;;;;;;;;;;;;;;;;;
High;NX_P48681-1;NES;1;Nestin isoform Iso 1;0;1968;67.92;109;1470;109;1;1621;177.3;4.36;4249.11;99;20437;108;7379020409;85802562.9;26.35
;;;;;;;;;;;;;;;;;;;;;
High;NX_P02751-1;FN1;1;Fibronectin isoform Iso 1;0;1964;60.77;102;1542;102;1;2386;262.5;5.71;4685.4;92;20756;101;6770127378;70522160.18;26.07
;;;;;;;;;;;;;;;;;;;;;
High;NX_P12814-1;ACTN1;1;Alpha-actinin-1 isoform Iso 1;0;1856;79.71;79;1919;54;1;892;103;5.41;5747.25;73;29109;79;16919206838;319230317.7;28.25
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q9NZM1-1;MYOF;1;Myoferlin isoform Iso 1;0;1683;66.13;128;828;125;1;2061;234.6;6.18;2396.92;127;9445;125;2606494145;21364706.11;24.35
;;;;;;;;;;;;;;;;;;;;;
High;NX_O43707-1;ACTN4;1;Alpha-actinin-4 isoform Iso 1;0;1662;74.42;79;1536;54;1;911;104.8;5.44;4761.57;76;24240;79;14639891490;266179845.3;27.99
;;;;;;;;;;;;;;;;;;;;;
High;NX_Q8IVF2-3;AHNAK2;1;Protein AHNAK2 isoform Iso 3;0;1578;56.44;147;525;146;1;5695;605.3;5.36;1368.68;141;6147;143;1444466869;6781534.595;22.69
;;;;;;;;;;;;;;;;;;;;;
High;NX_P08670-1;VIM;1;Vimentin isoform Iso 1;0;1563;96.35;83;6705;80;1;466;53.6;5.12;21233.88;78;115758;82;187039000000;5844973325;32.44
;;;;;;;;;;;;;;;;;;;;;
High;NX_P13639-1;EEF2;1;Elongation factor 2 isoform Iso 1;0;1476;76.81;70;1732;69;1;858;95.3;6.83;5171.54;67;21178;70;10573298194;234962182.1;27.81
;;;;;;;;;;;;;;;;;;;;;
High;NX_P08238-1;HSP90AB1;1;Heat shock protein HSP 90-beta isoform Iso 1;0;1464;69.89;70;2796;30;1;724;83.2;5.03;8317.21;66;28794;69;16967832562;484795216.1;28.85
;;;;;;;;;;;;;;;;;;;;;
High;NX_P07900-2;HSP90AA1;1;Heat shock protein HSP 90-alpha isoform Iso 2;0;1431;60.19;72;2568;47;1;854;98.1;5.16;7605.3;68;26781;71;10446355174;248722742.2;27.89
;;;;;;;;;;;;;;;;;;;;;
